portfolio,n,alpha,alpha_t,beta_mkt,beta_mkt_t,beta_smb,beta_smb_t,beta_hml,beta_hml_t,beta_mom,beta_mom_t,r2
BIG HiBM,1187,-0.000366709999400628,-0.3586992959656952,1.1463880156294446,35.63044799749237,-0.15095090888890958,-2.3339510335000155,0.9363699099210857,18.71172014085871,-0.13106350124810517,-3.0408131096129845,0.8394800759074936
BIG LoBM,1187,0.0011763726202109032,3.2818859382627474,1.0274531683871546,111.39635907019134,-0.15145038795277604,-6.291539115691761,-0.2769428084598058,-18.244977189837257,-0.016922039565236777,-1.2701349736009366,0.9561831697255646
ME1 BM2,1187,-0.003780022940496261,-3.734827487622286,1.0695612713525458,35.52258729766835,1.5271665572023136,9.64680123046827,0.20362841490424177,3.012383209096363,-0.008956534714269137,-0.17591089792230516,0.8235950763146436
ME1 BM3,1187,8.549056807856141e-05,0.11327210100048758,1.019741252870525,28.497756035290035,1.2290576151944204,27.156555308977904,0.4329634352467222,12.347326009263346,-0.13218635308597426,-4.028023248237175,0.8928681184383609
ME1 BM4,1187,0.0008799595193782395,1.6276079057933637,0.9405031907369771,51.14501587726736,1.230830553916964,12.945693605329748,0.5674067696434756,14.682952217130183,-0.015277641283207143,-0.6204649542433258,0.9299498213172174
ME2 BM1,1187,-0.0019704665604546347,-2.9897624334814363,1.0806067066670382,51.74466034647049,1.1503521479604237,17.829116975503716,-0.24028129122410652,-7.504176429467211,-0.023891530837070594,-0.9621173110681971,0.9101171673984414
ME2 BM2,1187,0.0006216528471533654,1.1614656633578522,1.0127494609286174,72.06852164100724,1.0025342697476225,16.82970270576268,0.0984644762301814,2.4792659807246213,-0.04366757032900683,-1.9475749729026535,0.9349969023789568
ME2 BM3,1187,0.0003109995157248252,0.650224354004447,0.9879733109408757,45.63793399099871,0.8310727562112155,12.072503829621564,0.3395409632543101,7.7522465537781455,-0.00848309159659458,-0.32555393420184153,0.9343638055633368
ME2 BM4,1187,0.00031718825650507677,0.709181682762138,0.968132203992883,52.787361881457194,0.827854168132081,13.847802030949236,0.5845485536286904,15.220261917615224,-0.0008261824620833037,-0.04319718023324876,0.9523986471859804
ME2 BM5,1187,0.00046048162025332586,0.9090098718172214,1.0611398452466017,58.35659168902342,0.9248754287444112,18.97966733621502,0.8747587567271786,24.201511030908833,-0.02016324616245946,-0.8946030631953615,0.9524481352775178
ME3 BM1,1187,-0.0005978634523920076,-1.1613880939620382,1.1119521182719516,63.86940900489989,0.8068984065658478,19.97384068301227,-0.24296970648022895,-6.181760236108858,-0.05462811074912137,-2.4827887993278575,0.9280736431546147
ME3 BM2,1187,0.0007556820259249434,1.5183114936709798,1.0191475667390522,69.35773473847429,0.5615120288268268,19.341990584570148,0.051896737817899094,1.6627164355146038,0.009181186147816992,0.3445410638990652,0.929532123521466
ME3 BM3,1187,0.0005320897991378221,1.0415295259883857,0.9844935092785919,43.916748745418374,0.45032373024598393,9.717574359213748,0.3209220246450497,9.575215577234927,-0.004030946754582292,-0.15224530501794467,0.9268989482257525
ME3 BM4,1187,0.0004465663564691998,0.872859579212336,0.9899236539131268,56.677790477905056,0.4770028128012563,9.72006022029194,0.5557370979838172,13.568569528163794,-0.016426321973747385,-0.5652100192430543,0.9347673768668054
ME3 BM5,1187,-0.00010764370604869576,-0.16074844840775174,1.1008994209935379,55.6651172490772,0.5857083271506419,9.402213932868728,0.8397480374913877,19.956415118935084,-0.05299913208227729,-1.5902381405627375,0.9243686213584721
ME4 BM1,1187,0.00031415492011540783,0.6521962141846662,1.0757539950788433,84.28787473639596,0.3400342670010555,8.603637313817712,-0.3242737021776285,-13.959249278066212,0.011031529640448023,0.5842764439868436,0.9297845112582204
ME4 BM2,1187,3.067764459095772e-05,0.05915463066343977,1.0256419864055502,48.65415932712382,0.2402689260284069,6.022092265721455,0.09918487536945801,2.827730528252478,-0.014583396159279937,-0.6931145063466512,0.9231004640801962
ME4 BM3,1187,2.8255661973942465e-05,0.04993483444208659,1.007120002580536,66.91559693013338,0.2063917735091105,4.598984588296414,0.3421189091709583,9.607594984231747,-0.013120550633431856,-0.4881348732219412,0.9155146805656494
ME4 BM4,1187,0.0008307832426474889,1.411938740894597,1.0192027779104964,52.18323489815256,0.20977288251258755,6.577268658169488,0.5358140720607296,12.992096331404309,-0.06820270497131363,-2.3619566052336234,0.9166488411422964
ME4 BM5,1187,-0.0009626110531882847,-1.3021258053873237,1.1666568043449121,58.182827704176226,0.31513790838142697,7.779619150461487,0.9103032836981887,23.946767657411606,-0.08100091894759154,-2.6969461526986325,0.9118236920691101
ME5 BM2,1187,7.320692104787557e-05,0.17450683354037386,0.9730430732260822,69.81910986870847,-0.19049376819149702,-8.868350316813805,0.0175957705331917,0.6952158119803871,-0.018693082094682838,-0.9998357268975852,0.9282686815787535
ME5 BM3,1187,-5.531282767833193e-05,-0.09847289888510428,0.9553675161668614,49.3448687161668,-0.2334434451082061,-8.88272393958437,0.32032384978670736,12.882739908467025,-0.023632673437061043,-1.0578851336976365,0.9050758318348137
ME5 BM4,1187,-0.0021333774336486817,-3.829649702508339,1.0236500118730267,46.24494496286415,-0.18108530651104143,-5.998342516695089,0.6415172376443724,18.270731551614627,-0.031836109872152615,-1.2892382380645577,0.9236081597991559
SMALL HiBM,1187,0.001739976437321089,2.8033902555772316,0.970709707023978,48.6822823531642,1.2859389832350097,20.19656472390471,0.8701506120586268,20.319681825695156,-0.04022275988547193,-1.1566882353986698,0.9294010763861165
SMALL LoBM,1187,-0.005295172010634397,-3.2073904731568774,1.229276777031118,15.646841151944995,1.4666164589008903,8.791716746597478,0.2785417820010235,1.480782607109419,-0.16463271866914347,-1.5757819300275924,0.6669842154391714
