portfolio,alpha_ff3,alpha_carhart,delta_alpha,r2_ff3,r2_carhart,delta_r2
BIG HiBM,-0.00159,-0.000367,0.001223,0.835471,0.83948,0.004009
BIG LoBM,0.001018,0.001176,0.000158,0.956016,0.956183,0.000168
ME1 BM2,-0.003864,-0.00378,8.4e-05,0.823581,0.823595,1.4e-05
ME1 BM3,-0.001148,8.5e-05,0.001234,0.889145,0.892868,0.003723
ME1 BM4,0.000737,0.00088,0.000143,0.929893,0.92995,5.7e-05
ME2 BM1,-0.002193,-0.00197,0.000223,0.909967,0.910117,0.00015
ME2 BM2,0.000214,0.000622,0.000408,0.934428,0.934997,0.000569
ME2 BM3,0.000232,0.000311,7.9e-05,0.934341,0.934364,2.3e-05
ME2 BM4,0.000309,0.000317,8e-06,0.952398,0.952399,0.0
ME2 BM5,0.000272,0.00046,0.000188,0.952358,0.952448,9e-05
ME3 BM1,-0.001108,-0.000598,0.00051,0.927151,0.928074,0.000922
ME3 BM2,0.000841,0.000756,-8.6e-05,0.929499,0.929532,3.3e-05
ME3 BM3,0.000494,0.000532,3.8e-05,0.926892,0.926899,6e-06
ME3 BM4,0.000293,0.000447,0.000153,0.934674,0.934767,9.4e-05
ME3 BM5,-0.000602,-0.000108,0.000495,0.923699,0.924369,0.000669
ME4 BM1,0.000417,0.000314,-0.000103,0.929732,0.929785,5.3e-05
ME4 BM2,-0.000105,3.1e-05,0.000136,0.923005,0.9231,9.5e-05
ME4 BM3,-9.4e-05,2.8e-05,0.000122,0.915442,0.915515,7.2e-05
ME4 BM4,0.000194,0.000831,0.000637,0.91498,0.916649,0.001669
ME4 BM5,-0.001719,-0.000963,0.000756,0.910329,0.911824,0.001495
ME5 BM2,-0.000101,7.3e-05,0.000174,0.928057,0.928269,0.000212
ME5 BM3,-0.000276,-5.5e-05,0.000221,0.904776,0.905076,0.0003
ME5 BM4,-0.002431,-0.002133,0.000297,0.923211,0.923608,0.000397
SMALL HiBM,0.001365,0.00174,0.000375,0.92908,0.929401,0.000322
SMALL LoBM,-0.006832,-0.005295,0.001537,0.663794,0.666984,0.00319
